id,Star_name,Distance
0,NaN,NaN
1,Sun,0.0
2,Sirius,0008.6
3,Canopus,0310
4,Rigil Kentaurus& Toliman,0004.34
5,Arcturus,0037
6,Vega,0025
7,Capella,0043
8,Rigel,0860
9,Procyon,0011
10,Achernar,0139
11,Betelgeuse,640
12,Hadar,0390
13,Altair,0017
14,Acrux,0320
15,Aldebaran,0065
16,Antares,0550
17,Spica,0250
18,Pollux,0034
19,Fomalhaut,0025
20,Deneb,"2,600"
21,Mimosa,0280
22,Regulus,0079
23,Adhara,0430
24,Castor,0051
25,Shaula,0570
26,Gacrux,0089
27,Bellatrix,0250
28,Elnath,0130
29,Miaplacidus,0110
30,Alnilam,"2,000"
31,Regor,0840
32,Alnair,0100
33,Alnitak,"01,300"
34,Alioth,0083
35,Dubhe,0120
36,Mirfak,0510
37,Wezen,"1,800"
38,Sargas,0330
39,Kaus Australis,0140
40,Avior,0600
41,Alkaid,0100
42,Menkalinan,080
43,Atria,0390
44,Alhena,0100
45,Peacock,0180
46,Alsephina,0080
47,Mirzam,0500
48,Alphard,0180
49,Polaris,0430
50,Hamal,0066
51,Algieba,0130
52,Diphda,0096
53,Mizar,0083
54,Nunki,0230
55,Menkent,0059
56,Alpheratz,0097
57,Mirach,0200
58,Rasalhague,0047
59,Kochab,0130
60,Saiph,0720
61,Denebola,0036
62,Algol,0093
63,Tiaki,0170
64,Muhlifain,0130
65,Aspidiske,0690
66,Suhail,0570
67,Alphecca,0075
68,Mintaka,0900
69,Sadr,"1,500"
70,Eltanin,0150
71,Schedar,0230
72,Naos,"1,080"
73,Almach,0350
74,Caph,0054
75,Izar,0202
76,—,0550
77,—,0380
78,Dschubba,0400
79,Larawag,0065
80,—,0310
81,Merak,0079
82,Ankaa,0077
83,Girtab,0460
84,Enif,0670
85,Scheat,0200
86,Sabik,0088
87,Phecda,0084
88,Aludra,"2,000"
89,Markeb,0540
90,Navi,0610
91,Markab,0140
92,Aljanah,0072
93,Acrab,0404
